ind,name,michelin_award,city,country,lat,lon,image,chef,cuisine1,url,url2,Hotel_Name,h_lat,h_lon
0,'L Chimpl,ONE_STAR,Tamion,Italy,46.4073422,11.6564315,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/54607f53174646099df08790140cea55,Stefano Ghetta,Creative,https://guide.michelin.com/en/trentino-alto-adige/tamin/restaurant/l-chimpl,https://guide.michelin.com/en/trentino-alto-adige/tamin/restaurant/l-chimpl,Cyprianerhof Dolomit Resort,46.4709667,11.5614321
1,'t Amsterdammertje,ONE_STAR,Loenen aan de Vecht,Netherlands,52.2098585,5.0216548,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/abf65405e45e4d1da274ab38be4227c0,André Gerrits,Creative,https://guide.michelin.com/en/utrecht/loenen-aan-de-vecht/restaurant/t-amsterdammertje,https://guide.michelin.com/en/utrecht/loenen-aan-de-vecht/restaurant/t-amsterdammertje,Posthoorn Lodge,52.0973105,4.9160884
2,'t Fornuis,ONE_STAR,Antwerpen,Belgium,51.2190389,4.3994483,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/80e6c737b6854595a6af57493545f7ab,Johan Segers,Classic Cuisine,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-fornuis,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-fornuis,Guesthouse Bernardin,51.2204099,4.4099394
3,'t Korennaer,ONE_STAR,Nieuwkerken-Waas,Belgium,51.1929468,4.1781069,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/49953d0ab8c64f34bc32569d2515919f,Edwin Van Goethem,Modern Cuisine,https://guide.michelin.com/en/oost-vlaanderen/nieuwkerken-waas/restaurant/t-korennaer,https://guide.michelin.com/en/oost-vlaanderen/nieuwkerken-waas/restaurant/t-korennaer,B & B Studios 1-2-3,51.2060306,4.4024222
4,'t Lansink,ONE_STAR,Hengelo,Netherlands,52.2596759,6.7823645,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f74a44a0-41b6-477d-a991-218ee567dc7a.jpg,Lars van Galen,Modern Cuisine,https://guide.michelin.com/en/overijssel/hengelo/restaurant/t-lansink,https://guide.michelin.com/en/overijssel/hengelo/restaurant/t-lansink,Silverstip,52.2651542,6.7822461
5,'t Nonnetje,TWO_STARS,Harderwijk,Netherlands,52.3509952,5.6202128,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/40f174ae-ea58-47de-808b-8ceebbc26eac.jpg,Michel van der Kroft,Creative,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/t-nonnetje,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/t-nonnetje,Hotel NH Collection Amsterdam Barbizon Palace,52.3765471,4.9004774
6,'t Overhamme,ONE_STAR,Aalst,Belgium,50.928478,4.0662034,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/8d709e6beb16424bb4e79a9669baaf43,Patrick Bogaert,Modern Cuisine,https://guide.michelin.com/en/oost-vlaanderen/aalst/restaurant/t-overhamme,https://guide.michelin.com/en/oost-vlaanderen/aalst/restaurant/t-overhamme,"Radisson Collection Hotel, Grand Place Brussels",50.8494629,4.3563379
7,'t Stoveke,ONE_STAR,Strombeek-Bever,Belgium,50.9049469,4.3507766,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d707002872d44fb6b5ff5b09a530d7da,Daniel Antuna,Modern Cuisine,https://guide.michelin.com/en/vlaams-brabant/strombeek-bever/restaurant/t-stoveke,https://guide.michelin.com/en/vlaams-brabant/strombeek-bever/restaurant/t-stoveke,Sofitel Brussels Europe,50.8377005,4.3813162
8,'t Truffeltje,ONE_STAR,Dendermonde,Belgium,51.0310014,4.1026273,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/889f1441f0b3467aa6297f0151b05ca1,Paul Mariën,Modern French,https://guide.michelin.com/en/oost-vlaanderen/dendermonde/restaurant/t-truffeltje,https://guide.michelin.com/en/oost-vlaanderen/dendermonde/restaurant/t-truffeltje,"Radisson Collection Hotel, Grand Place Brussels",50.8494629,4.3563379
9,'t Vlasbloemeken,ONE_STAR,Koewacht,Netherlands,51.2254016,3.9770577,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/5bad4cc1-dcce-4f12-baeb-8fc908ce3bcf.jpg,Eric van Bochove,Modern Cuisine,https://guide.michelin.com/en/zeeland/koewacht/restaurant/t-vlasbloemeken,https://guide.michelin.com/en/zeeland/koewacht/restaurant/t-vlasbloemeken,Marcel de Gand - Business and Travel Flats,51.0675267,3.6802107
