name,blurb,michelin_award,city,country,lat,lon,image,chef,cuisine1,cuisine2,url,url2
'L Chimpl,Haute cuisine has arrived at the “simple” Gran Mugon hotel,ONE_STAR,Tamion,Italy,46.4073422,11.6564315,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/54607f53174646099df08790140cea55,Stefano Ghetta,Creative,Contemporary,https://guide.michelin.com/en/trentino-alto-adige/tamin/restaurant/l-chimpl,https://guide.michelin.com/en/trentino-alto-adige/tamin/restaurant/l-chimpl
't Amsterdammertje,"If you’re a fan of hip, vibrant and trendy",ONE_STAR,Loenen aan de Vecht,Netherlands,52.2098585,5.0216548,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/abf65405e45e4d1da274ab38be4227c0,André Gerrits,Creative,,https://guide.michelin.com/en/utrecht/loenen-aan-de-vecht/restaurant/t-amsterdammertje,https://guide.michelin.com/en/utrecht/loenen-aan-de-vecht/restaurant/t-amsterdammertje
't Fornuis,’t Fornuis is a restaurant that has become rare,ONE_STAR,Antwerpen,Belgium,51.2190389,4.3994483,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/80e6c737b6854595a6af57493545f7ab,Johan Segers,Classic Cuisine,,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-fornuis,https://guide.michelin.com/en/antwerpen/be-antwerpen/restaurant/t-fornuis
't Korennaer,Edwin Van Goethem jazzes up his cooking with international influences,ONE_STAR,Nieuwkerken-Waas,Belgium,51.1929468,4.1781069,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/49953d0ab8c64f34bc32569d2515919f,Edwin Van Goethem,Modern Cuisine,,https://guide.michelin.com/en/oost-vlaanderen/nieuwkerken-waas/restaurant/t-korennaer,https://guide.michelin.com/en/oost-vlaanderen/nieuwkerken-waas/restaurant/t-korennaer
't Lansink,"Warmth and character are the hallmarks of ’t Lansink, which",ONE_STAR,Hengelo,Netherlands,52.2596759,6.7823645,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f74a44a0-41b6-477d-a991-218ee567dc7a.jpg,Lars van Galen,Modern Cuisine,Modern French,https://guide.michelin.com/en/overijssel/hengelo/restaurant/t-lansink,https://guide.michelin.com/en/overijssel/hengelo/restaurant/t-lansink
't Nonnetje,Key features at 't Nonnetje are a focus on vegetables,TWO_STARS,Harderwijk,Netherlands,52.3509952,5.6202128,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/40f174ae-ea58-47de-808b-8ceebbc26eac.jpg,Michel van der Kroft,Creative,Modern French,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/t-nonnetje,https://guide.michelin.com/en/gelderland/harderwijk/restaurant/t-nonnetje
't Overhamme,‘t Overhamme has been a fine dining establishment since,ONE_STAR,Aalst,Belgium,50.928478,4.0662034,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/8d709e6beb16424bb4e79a9669baaf43,Patrick Bogaert,Modern Cuisine,,https://guide.michelin.com/en/oost-vlaanderen/aalst/restaurant/t-overhamme,https://guide.michelin.com/en/oost-vlaanderen/aalst/restaurant/t-overhamme
't Raedthuys,Art and gastronomy go hand in hand at ’t Raedthuys,ONE_STAR,Duiven,Netherlands,51.95016,6.02355,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/e15718e4-1cc7-4096-bd66-a0112e61d842.jpeg,Hans den Engelsen,Modern French,,https://guide.michelin.com/en/gelderland/duiven/restaurant/t-raedthuys,https://guide.michelin.com/en/gelderland/duiven/restaurant/t-raedthuys
't Stoveke,The chef of 't Stoveke follows in the footsteps of,ONE_STAR,Strombeek-Bever,Belgium,50.9049469,4.3507766,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d707002872d44fb6b5ff5b09a530d7da,Daniel Antuna,Modern Cuisine,,https://guide.michelin.com/en/vlaams-brabant/strombeek-bever/restaurant/t-stoveke,https://guide.michelin.com/en/vlaams-brabant/strombeek-bever/restaurant/t-stoveke
't Truffeltje,"This restaurant enjoys a fine reputation, exemplified by the chef",ONE_STAR,Dendermonde,Belgium,51.0310014,4.1026273,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/889f1441f0b3467aa6297f0151b05ca1,Paul Mariën,Modern French,Modern Cuisine,https://guide.michelin.com/en/oost-vlaanderen/dendermonde/restaurant/t-truffeltje,https://guide.michelin.com/en/oost-vlaanderen/dendermonde/restaurant/t-truffeltje
't Vlasbloemeken,Your visit to ’t Vlasbloemeken promises to turn into a,ONE_STAR,Koewacht,Netherlands,51.2254016,3.9770577,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/5bad4cc1-dcce-4f12-baeb-8fc908ce3bcf.jpg,Eric van Bochove,Modern Cuisine,,https://guide.michelin.com/en/zeeland/koewacht/restaurant/t-vlasbloemeken,https://guide.michelin.com/en/zeeland/koewacht/restaurant/t-vlasbloemeken
100 Maneiras,Discover the creativity and personality of Bosnian chef Ljubomir Stanisic,ONE_STAR,Lisbon,Portugal,38.714841,-9.1449507,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ad8e6cde-5fa9-487d-b95f-7ff073f109c8.jpg,Ljubomir Stanisic,Creative,,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/100-maneiras,https://guide.michelin.com/en/lisboa-region/lisboa/restaurant/100-maneiras
100/200 Kitchen,100/200 promises industrial chic in an urban loft-style,ONE_STAR,Hamburg,Germany,53.5374323,10.0285764,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/3eeba06d-f545-4c08-b468-01489404677b.jpg,Thomas Imbusch,Creative,Modern Cuisine,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/100-200,https://guide.michelin.com/en/hamburg-region/hamburg/restaurant/100-200
1131 - Abbaye de la Bussière,The exceptional setting of a former abbey is now the,ONE_STAR,La Bussière-sur-Ouche,France,47.2157221,4.7241758,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/637918c4-230a-4cd0-b7ac-0e15cbb129de.jpg,,Modern Cuisine,,https://guide.michelin.com/en/bourgogne-franche-comte/la-bussire-sur-ouche/restaurant/1131,https://guide.michelin.com/en/bourgogne-franche-comte/la-bussire-sur-ouche/restaurant/1131
"114, Faubourg",This chic brasserie within the premises of Le Bristol has,ONE_STAR,Paris,France,48.8717748,2.3142125,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/3f58a79c-d21f-4b2b-83dc-3122ec66de4c.jpg,Loïc Dantec,Modern Cuisine,,https://guide.michelin.com/en/ile-de-france/paris/restaurant/114-faubourg,https://guide.michelin.com/en/ile-de-france/paris/restaurant/114-faubourg
12 Apostoli,"Rooted in the Veronese flavours of his childhood, yet created",ONE_STAR,Verona,Italy,45.4426624,10.9960733,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/24a04670-376e-49ca-934b-cc57ced5d75f.jpg,Mauro Buffo,Modern Cuisine,Contemporary,https://guide.michelin.com/en/veneto/verona/restaurant/12-apostoli,https://guide.michelin.com/en/veneto/verona/restaurant/12-apostoli
1741,"This town house, built under the First Empire, faces the",ONE_STAR,Strasbourg,France,48.5806,7.7535777,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/7e22f7b03d4e4d259c8914a1321e0b9b,,Modern Cuisine,,https://guide.michelin.com/en/grand-est/strasbourg/restaurant/1741,https://guide.michelin.com/en/grand-est/strasbourg/restaurant/1741
1876 Daniel Dal-Ben,"At Daniel Dal-Ben's restaurant, it's a modern",ONE_STAR,Düsseldorf,Germany,51.2435618,6.8020549,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/32abd7b8768d44a5b948cb8fe4484f8b,Daniel Dal-Ben,Creative,Modern Cuisine,https://guide.michelin.com/en/nordrhein-westfalen/dusseldorf/restaurant/tafelspitz-1876,https://guide.michelin.com/en/nordrhein-westfalen/dusseldorf/restaurant/tafelspitz-1876
1904 Designed by Lagonda,The first restaurant in Switzerland to be designed by the,ONE_STAR,Zurich,Schweiz,47.3754184,8.5368718,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9a8fe471-b58d-4cdc-be94-4e44609b80af.jpg,,Modern Cuisine,Creative,https://guide.michelin.com/en/zurich-region/zurich/restaurant/1904-designed-by-lagonda,https://guide.michelin.com/en/zurich-region/zurich/restaurant/1904-designed-by-lagonda
1908,The name of this hotel refers to the year in,ONE_STAR,Soprabolzano,Italy,46.5282559,11.405296,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/2f3a942cdc3d446cad1eaac29d946bef,Stephan Zippl,Creative,Modern Cuisine,https://guide.michelin.com/en/trentino-alto-adige/soprabolzano/restaurant/1908,https://guide.michelin.com/en/trentino-alto-adige/soprabolzano/restaurant/1908
1912 - Les Cures Marines,"Abutting the casino, the former spa facilities have been resuscitated",ONE_STAR,Trouville-sur-Mer,France,49.3662411,0.0776574,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f5b6b65d-0b36-4dd9-a747-abe12a5e7f1c.jpg,,Modern Cuisine,,https://guide.michelin.com/en/normandie/trouville-sur-mer/restaurant/1912,https://guide.michelin.com/en/normandie/trouville-sur-mer/restaurant/1912
21.9,This restaurant is housed on a wine estate that was,ONE_STAR,Piobesi d'Alba,Italy,44.7326422,7.9903827,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c93aca3a-7be0-4d99-8373-63bcc416e65c.jpg,Flavio Costa,Creative,,https://guide.michelin.com/en/piemonte/pibesi-d-alba/restaurant/21-9,https://guide.michelin.com/en/piemonte/pibesi-d-alba/restaurant/21-9
28 Wilkie,"Known as the city’s first caviar bar, 28 Wilkie",ONE_STAR,Singapore,Singapore,1.3020801,103.8488982,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/9d7d4fcd4af44a1a868f65e8749adbee,,Modern Cuisine,,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/28-wilkie,https://guide.michelin.com/en/singapore-region/singapore/restaurant/28-wilkie
28+,"This atmospheric, passionately run basement restaurant has been a Gothenburg",ONE_STAR,Gothenburg,Sweden,57.6981746,11.9738899,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9f657895-fd80-4f2b-be87-7f48b363abcf.jpg,Markus Pettersson,Modern Cuisine,,https://guide.michelin.com/se/en/vastra-gotaland/gothenburg/restaurant/28,https://guide.michelin.com/en/vastra-gotaland/gothenburg/restaurant/28
360°,This restaurant on the third floor of Limburg’s WERKStadt,ONE_STAR,Limburg an der Lahn,Germany,50.3844391,8.0614395,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c9224ff2-bd9f-455c-b75a-0121978d8b13.jpg,Alexander Hohlwein,Modern Cuisine,International,https://guide.michelin.com/en/hessen/limburg-an-der-lahn/restaurant/360%C2%B0,https://guide.michelin.com/en/hessen/limburg-an-der-lahn/restaurant/360%C2%B0
5,The tried-and-tested concept of a bar on the,ONE_STAR,Stuttgart,Germany,48.7800231,9.1780757,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/3442306e-fb92-4a54-8448-e84e78e8b8e1.jpg,Alexander Dinter,Modern Cuisine,,https://guide.michelin.com/en/baden-wurttemberg/stuttgart/restaurant/5,https://guide.michelin.com/en/baden-wurttemberg/stuttgart/restaurant/5
7132 Silver,Fans of 7132 Silver enthuse not only about the stylishly,TWO_STARS,Vals,Switzerland,46.6226102,9.181299,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/0fe7e348557d4f5282002a9473c53c74,Mitja Birlo,Creative,Innovative,https://guide.michelin.com/en/graubunden/vals/restaurant/7132-silver,https://guide.michelin.com/en/graubunden/vals/restaurant/7132-silver
7th Door,Chef Kim Dae-chun’s cooking continues to diversify and,ONE_STAR,SEOUL,South Korea,37.52237,127.05429,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ec07701d-8580-4a16-a705-03af55baf11b.jpg,Dae Chun KIM,Contemporary,,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/7th-door,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/7th-door
8 1/2 Otto e Mezzo - Bombana,Owner-chef Umberto Bombana’s restaurant oozes Italian charm and,THREE_STARS,Hong Kong,Hong Kong,22.2814635,114.15867,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/dd2cf4d7d285400cbd6ab5280df45a68,Umberto BOMBANA,Italian,,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/8%C2%BD-otto-e-mezzo-bombana
